"","name..1...2.","max.sylen..rm.na...TRUE.","min.sylen..rm.na...TRUE.","mean.sylen..rm.na...TRUE.","sd.sylen.","rate","mean.anasyl.dom..rm.na...TRUE.","max.anasyl.dom..rm.na...TRUE.","min.anasyl.dom..rm.na...TRUE.","sd.anasyl.dom.","mean.anasyl.harmonics..rm.na...TRUE.","max.anasyl.harmonics..rm.na...TRUE.","min.anasyl.harmonics..rm.na...TRUE.","sd.anasyl.harmonics.","mean.anasyl.HNR..rm.na...TRUE.","max.anasyl.HNR..rm.na...TRUE.","min.anasyl.HNR..rm.na...TRUE.","sd.anasyl.HNR.","mean.anasyl.f1_freq..rm.na...TRUE.","max.anasyl.f1_freq..rm.na...TRUE.","min.anasyl.f1_freq..rm.na...TRUE.","sd.anasyl.f1_freq.","mean.anasyl.f2_freq..rm.na...TRUE.","max.anasyl.f2_freq..rm.na...TRUE.","min.anasyl.f2_freq..rm.na...TRUE.","sd.anasyl.f2_freq.","mean.anasyl.f3_freq..rm.na...TRUE.","max.anasyl.f3_freq..rm.na...TRUE.","min.anasyl.f3_freq..rm.na...TRUE.","sd.anasyl.f3_freq.","mean.anasyl.entropy..rm.na...TRUE.","max.anasyl.entropy..rm.na...TRUE.","min.anasyl.entropy..rm.na...TRUE.","sd.anasyl.entropy.","mean.anasyl.specSlope..rm.na...TRUE.","max.anasyl.specSlope..rm.na...TRUE.","min.anasyl.specSlope..rm.na...TRUE.","sd.anasyl.specSlope."
"71"," Bernache cravant ",1680,1,205.12,319.815613544221,0.00354609929078014,245.100083402836,325.133444537114,1,41.7307022697744,9.62899183577164,13.119002009572,1,2.31420299369183,4.67680347683724,11.2876107463816,-3.1729184745266,5.22828237806538,943.222727272727,1712.88,1,299.684473741664,1605.55,2153.12,1,189.915223455098,2352.29727272727,3338.47,1,328.042471277452,0.351276902436868,1,0.280647580244753,0.0485020618693902,-0.00221093131917471,1,-0.00328251569696123,0.000724412507999523
"72","_Taleve_sultane_",600,1,209.230769230769,148.820511406811,0.00689845474613687,1237.84488492475,3428.10783094399,1,750.056737495148,8.19771293557269,14.2235049374392,-3.13181896808496,3.94774396032385,9.993135336484,16.4547638339227,1,3.46434963101569,1489.81275862069,2054.22,1,364.500973572054,2124.13379310345,2905.33,1,240.814064216325,2910.29482758621,4067.07,1,574.890100234202,0.254922252891355,1,0.173812113632757,0.0449747733709235,-2.5267991037325e-05,1,-0.000903021421841092,0.00102274336496649
"73"," Petit",1096,1,218.206896551724,238.307331478603,0.00256786500366838,1339.18565989921,1346.21906788252,1,10.7762019522776,-4.44599338403024,1,-5.48499304174492,0.67070768359018,19.9449638959175,22.6753203254579,1,1.13520871096547,1332.42054054054,1346.43,1,9.56802892331944,2255.48405405405,2693.69,1,506.173630450722,3431.81027027027,4268.31,1,685.349621537498,0.132078299221866,1,0.102631027304307,0.0133908915678742,-0.00159112912929592,1,-0.0018661147199665,0.000124455968417634
"74"," Yellowish Flycatcher ",224,1,220,8,0.000245579567779961,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA
"75"," Vanneau huppé ",944,1,856.727272727273,68.0192486125669,0.000315736297044708,1186.07377841626,1206.09193959954,1,20.018161183285,11.2188155398519,12.3476216328889,1,1.03823075905721,16.7942035968447,21.3279679196358,1,4.38448975277797,1175.51,1199.99,1,29.4629326442566,2352.29333333333,2405.31,1,59.5706071257741,3507.93,3593.46,1,114.317939537065,0.187291459857002,1,0.168084866863802,0.0263397717335454,7.94602072465681e-06,1,-3.18860264388349e-05,4.12891816969901e-05
"76","_Tourterelle_triste_",584,1,352,188.093593723976,0.00240384615384615,496.27621231979,685.283569641368,1,36.5196493037928,-4.89558228173926,9.27145585421435,-8.76559778813559,2.48100443877344,15.7136374312328,20.4641204591727,1,3.54223622029734,496.999047619048,673.92,1,46.5080336788431,876.175,1182.42,1,120.556244400095,1282.8675,1481.96,1,79.6783716004765,0.0460211058658033,1,0.00862923798021964,0.0204411883933498,-0.00177826086710168,1,-0.00309633655215156,0.000605197650005746
"77","_Perdrix_choukar_",544,1,124.444444444444,138.161977497949,0.00413424124513619,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA
"78"," Lapland Longspur ",11024,1,1813.33333333333,3608.34588142545,0.000363901018922853,2300.41808428569,3388.07150857742,1,566.750460129527,12.3737598554537,19.6356739465364,1,2.753320064026,6.18040078111839,9.7224737126622,1,2.37198859359306,1642.87944444444,1757.37,1,73.5662243050215,2390.19722222222,3674.42,1,414.952178163241,3217.72888888889,3950.51,1,342.397618169438,0.304775082329268,1,0.195639569312811,0.0665043166548344,9.66280212671159e-05,1,-3.81848096720831e-05,0.00011793966766492
"79","_Perdrix_grise_",616,1,496,89.977775033616,0.000218435998252512,1905.34769715504,2385.99249374479,1,252.024553731677,21.9908963493076,26.6273880226167,1,2.3223570769778,1.26839346994392,9.78420148025766,-3.78883981095723,3.1712189472936,1846.52755555556,3633.08,1,382.845112356489,2562.83622222222,4777.58,1,585.490246511762,3422.97733333333,6304.67,1,633.211236994704,0.35504829030083,1,0.256775742043062,0.0488626977510214,3.67047427233263e-05,1,-0.000697186482503138,0.000408563539903341
"80"," Eurasian Bullfinch ",919.999999999996,1,180.675324675324,152.051795326672,0.00311271297509829,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA
